"id","name","surf_km2","pop_res_perm_22","surf_km2_sbd3d","dens_hab_km2","dens_hab_km2_sbd3d","diff"
6061,"Lax",5.46,333,5.41931484033947,60.989010989011,61.44688208946,-0.457871100449019
6076,"Obergoms",156.04,640,155.980791931844,4.10151243270956,4.10306930791613,-0.00155687520657288
6077,"Goms",129.56,1142,129.52971870788,8.81444890398271,8.81650953458392,-0.00206063060120876
6082,"Ayent",55.22,4247,55.3258727277291,76.9105396595436,76.7633620693238,0.147177590219798
6083,"Evolène",209.88,1655,209.889467185489,7.88545835715647,7.88510267900866,0.000355678147810679
6084,"Hérémence",107.51,1488,107.462311655139,13.8405729699563,13.8467149745968,-0.0061420046404681
6087,"Saint-Martin (VS)",36.93,832,37.003361471759,22.5291091253723,22.4844437615481,0.044665363824258
6089,"Vex",13.08,1854,13.0511418213461,141.743119266055,142.056536154381,-0.313416888325776
6090,"Mont-Noble",43.43,1112,43.4447787216752,25.604420907207,25.5957109857532,0.0087099214537929
6101,"Agarn",7.61,709,7.64682559884323,93.1668856767411,92.7182123922446,0.448673284496522
6102,"Albinen",15.56,253,15.5559648202212,16.2596401028278,16.2638578142788,-0.00421771145102312
6104,"Ergisch",29.52,179,29.5333059250811,6.06368563685637,6.06095370609982,0.00273193075654454
6109,"Inden",9.8,116,9.73548788763172,11.8367346938776,11.91517069703,-0.0784360031524507
6110,"Leuk",55.14,4134,55.1458690716996,74.9727965179543,74.9648173034512,0.00797921450312344
6111,"Leukerbad",67.3,1295,67.3214552099927,19.2421991084695,19.2360666589955,0.00613244947404112
6112,"Oberems",50.19,127,50.2617984679444,2.53038453875274,2.52676991017337,0.00361462857936923
6113,"Salgesch",11.41,1659,11.3648135267961,145.398773006135,145.976878202919,-0.578105196783554
6116,"Varen",12.78,692,12.812824184558,54.1471048513302,54.0083895659785,0.138715285351722
6117,"Guttet-Feschel",10.41,437,10.4299129785317,41.9788664745437,41.898719663289,0.0801468112546786
6118,"Gampel-Bratsch",23.03,2116,23.0359928544029,91.8801563178463,91.8562535322007,0.0239027856455891
6119,"Turtmann-Unterems",42.47,1160,42.4229920813984,27.3133976924888,27.34366302533,-0.0302653328411573
6131,"Bovernier",13.11,911,13.0694207409456,69.488939740656,69.7046960272612,-0.215756286605256
6133,"Fully",37.85,9049,37.8053718812733,239.075297225892,239.357518513986,-0.282221288094121
6134,"Isérables",15.31,829,15.2529810015081,54.1476159372959,54.3500316376213,-0.202415700325453
6135,"Leytron",26.88,3281,26.8245688078542,122.061011904762,122.313242889456,-0.252230984694364
6136,"Martigny",32.54,20974,32.5901383753587,644.560540872772,643.568915186269,0.991625686502516
6137,"Martigny-Combe",37.45,2336,37.4122564559111,62.3765020026702,62.4394308521028,-0.0629288494325735
6139,"Riddes",23.89,3535,23.9004222023612,147.96986186689,147.905336988179,0.0645248787104151
6140,"Saillon",13.67,2995,13.7399519633874,219.092904169715,217.977472408981,1.11543176073408
6141,"Saxon",23.23,6690,23.2200281035175,287.989668532071,288.113346382495,-0.123677850424031
6142,"Trient",39.6,160,39.5552124945171,4.04040404040404,4.04497890188754,-0.00457486148350128
6151,"Champéry",38.9,1350,38.8455184935149,34.7043701799486,34.7530436548395,-0.0486734748909328
6152,"Collombey-Muraz",29.73,9739,29.7522747262608,327.581567440296,327.336315949109,0.245251491187162
6153,"Monthey",28.66,18446,28.6965704262162,643.614794138172,642.79458228041,0.820211857762047
6154,"Port-Valais",14.37,4397,14.351114298366,305.98469032707,306.387358401894,-0.402668074823453
6155,"Saint-Gingolph",14.45,988,14.4510218760543,68.3737024221453,68.3688675080575,0.00483491408785142
6156,"Troistorrents",36.9,4838,36.9575143040131,131.111111111111,130.907072380532,0.20403873057893
6157,"Val-d'Illiez",39.26,2146,39.2650259136255,54.6612328069282,54.6542361826204,0.00699662430776726
6158,"Vionnaz",20.97,2902,20.9513218275683,138.388173581307,138.511547093963,-0.123373512656343
6159,"Vouvry",33.46,4473,33.5117865008143,133.682008368201,133.475426620163,0.206581748038133
6172,"Bister",5.8,41,5.80736238472945,7.06896551724138,7.06000371318486,0.00896180405652025
6173,"Bitsch",5.86,1122,5.78861587048196,191.467576791809,193.828719179907,-2.36114238809802
